,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
33,"Bérubé,Sylvie",Active,Abitibi—Baie-James—Nunavik—Eeyou,"854,754km²","65,225","35,374.32","1,160.00",,-,-,-,-,-,-,"6,411.71",-,"1,212.00","8,241.88",,-,-,-,,"14,689.31",49.99,-,20.00,919.81,-,274.52,939.47,-,"69,293.01"
34,"Bessette,Lyne",Active,Brome—Missisquoi,"3,035km²","89,334","61,073.27",-,,337.32,-,-,948.95,-,282.77,-,-,-,-,,"1,289.48",-,-,,"13,988.32",-,-,111.95,691.04,533.17,-,"1,890.51",-,"81,146.78"
35,"Bezan,James",Active,Selkirk—Interlake—Eastman,"25,824km²","74,439","61,586.66",500.00,,"3,878.54",-,-,"1,070.81",-,589.82,"3,050.00",46.97,-,"11,532.04",,-,"4,959.31",-,,"10,300.94",-,228.32,"2,412.01","1,213.68",-,253.15,"2,359.96",-,"103,982.21"
36,"Bibeau,Hon. Marie-Claude",Active,Compton—Stanstead,"4,815km²","84,913","56,968.23",349.22,,-,-,-,-,-,"1,273.30","8,353.00",20.25,-,"6,578.34",,-,-,-,,"6,540.00",-,-,467.08,"1,676.46",962.82,636.32,370.40,-,"84,195.42"
37,"Bittle,Chris",Active,St. Catharines,61km²,"91,215","59,257.13",-,,666.04,-,-,-,-,-,"7,976.50",-,-,-,,-,-,-,,"10,692.54",-,-,-,751.65,360.82,-,319.70,-,"80,024.38"
38,"Blaikie,Daniel",Active,Elmwood—Transcona,50km²,"70,062","43,933.95",-,,-,-,-,-,-,-,"8,256.00",-,-,-,,-,-,-,,"12,535.00","6,921.01",-,-,429.83,-,617.30,-,-,"72,693.09"
39,"Blair,Hon. Bill",Active,Scarborough Southwest,29km²,"79,291","49,103.22","1,495.00",,"1,526.86",-,-,-,-,-,"10,400.00",-,-,433.59,,"5,035.00",-,-,,"10,800.00",-,-,"2,798.00",978.31,360.82,40.17,14.12,-,"82,985.09"
40,"Blanchet,Yves-François",Active,Beloeil—Chambly,402km²,"95,838","50,178.03",716.50,,"2,639.68",-,-,594.12,-,"2,896.33","8,320.00",-,-,"3,630.00",,-,-,-,,"12,600.00",292.46,-,133.92,433.36,46.70,-,91.27,-,"82,572.37"
41,"Blanchette-Joncas,Maxime",Active,Rimouski-Neigette—Témiscouata—Les Basques,"8,061km²","70,099","42,330.65",-,,913.14,-,-,-,246.64,393.21,"6,437.97",148.96,-,"6,003.76",,-,-,-,,"11,900.76","6,225.39",-,"1,743.98",823.61,169.00,"1,251.20","1,255.61",-,"79,843.88"
42,"Blaney,Rachel",Active,North Island—Powell River,"57,911km²","90,454","62,603.57",371.85,,"4,069.67",-,-,"3,118.89",-,"2,050.95","8,000.00",-,-,"1,646.14",,-,"3,634.45",-,,"15,948.25",476.09,-,"6,149.14","2,076.10",180.09,154.51,"1,479.28",-,"111,958.98"
