,Name,Status,Constituency name,Constituency size,Number of electors,1-Employees' salaries,2-Service Contracts,3-Travel,Member,Designated traveller,Dependants,Employees,Member's accommodation expenses,Member's per diem expenses,Member's secondary residence expenses,4-Hospitality,5-Gifts,6-Advertising,7-Printing,Householders,Ten percenters,Other printing related expenses,8-Offices,"Constituency office leases, insurance and utilities","Furniture, furnishing and equipment purchases",Equipment rentals,Informatics and telecommunication equipment purchases,Telecommunication services,Repairs and maintenance,Postage and courier services,Materials and supplies,Training,Total
198,"Manly,Paul",Active,Nanaimo—Ladysmith,"1,753km²","104,678","54,759.17",-,,"6,127.92",-,-,-,281.96,"1,572.86","4,950.00",-,-,"8,606.93",,-,-,-,,"10,934.02",-,189.60,"6,278.73",659.37,-,-,187.09,27.64,"94,575.29"
199,"Marcil,Simon",Active,Mirabel,868km²,"96,848","53,490.83","16,200.00",,-,-,-,-,-,-,"3,000.00",-,-,-,,-,-,-,,"8,880.96",-,-,95.32,766.35,-,272.25,522.43,-,"83,228.14"
200,"Martel,Richard",Active,Chicoutimi—Le Fjord,"2,819km²","65,747","46,687.60",540.04,,"1,563.39",975.47,-,-,172.03,937.73,"1,126.93",118.88,-,"5,903.41",,-,"1,292.75",-,,"13,137.44",199.99,129.36,-,665.52,-,202.30,855.63,-,"74,508.47"
201,"Martinez Ferrada,Soraya",Active,Hochelaga,20km²,"82,881","44,821.33","5,000.00",,745.46,-,-,-,-,625.77,"7,420.00",-,245.20,"7,599.29",,"7,959.00",-,-,,"13,624.00",-,-,"2,163.54",898.14,901.83,-,552.48,-,"92,556.04"
202,"Masse,Brian",Active,Windsor West,83km²,"94,944","64,156.25",909.26,,871.48,-,-,723.42,-,-,"5,875.90",105.92,-,250.00,,-,-,-,,"5,298.82",-,186.53,9.99,556.80,-,343.76,329.05,-,"79,617.18"
203,"Mathyssen,Lindsay",Active,London—Fanshawe,124km²,"93,944","57,645.03",358.80,,"1,222.44",-,-,596.46,-,"1,657.14","4,471.44",-,"1,080.00","4,320.00",,-,-,-,,"9,131.20",-,-,267.00,360.33,-,248.70,273.42,-,"81,631.96"
204,"May,Bryan",Active,Cambridge,373km²,"90,291","41,662.16",357.50,,457.80,-,-,-,-,340.31,814.25,-,-,"6,374.70",,-,-,-,,"11,920.16",-,-,397.27,"1,410.53",529.83,26.59,-,-,"64,291.10"
205,"May,Elizabeth",Active,Saanich—Gulf Islands,518km²,"91,752","72,004.65",568.74,,"4,778.43","3,504.62",-,478.10,-,-,"5,031.12",-,-,"4,305.39",,-,-,-,,"8,862.42",-,301.10,"2,003.04",771.99,-,-,-,103.82,"102,713.42"
206,"Mazier,Dan",Active,Dauphin—Swan River—Neepawa,"56,820km²","63,250","55,296.97",200.00,,154.76,-,-,"2,198.41",-,117.98,"8,416.00",25.13,-,"1,668.40",,-,"7,333.78",17.07,,"11,166.68",28.88,-,"4,619.99",908.74,-,288.72,754.91,-,"93,196.42"
207,"McCauley,Kelly",Active,Edmonton West,105km²,"89,249","40,935.89","2,561.99",,"9,388.90",370.12,-,513.47,-,659.69,"6,787.50",-,-,990.00,,-,-,-,,"21,157.95",90.00,-,-,484.22,"1,150.50",59.00,"3,953.06",-,"89,102.29"
208,"McColeman,Phil",Active,Brantford—Brant,886km²,"108,602","58,647.70",956.06,,225.00,-,-,-,-,-,"6,516.50",51.99,-,778.00,,-,-,-,,"11,000.00",-,-,-,394.48,320.00,-,376.54,-,"79,266.27"
209,"McCrimmon,Karen",Active,Kanata—Carleton,795km²,"87,281","54,270.07","1,000.00",,-,-,-,-,-,-,-,-,-,"7,276.89",,"7,583.26",-,-,,"10,333.32",-,-,20.00,618.58,360.83,-,-,-,"81,462.95"
210,"McDonald,Ken",Active,Avalon,"7,303km²","70,341","45,303.74",-,,"1,482.38","2,208.85",-,"1,329.75",-,37.10,"7,600.00",26.95,90.00,605.10,,-,-,-,,"9,200.00",-,-,"1,121.87","1,097.36",867.83,420.84,159.00,-,"71,550.77"
211,"McGuinty,Hon. David",Active,Ottawa South,16km²,"92,759","50,209.65",440.00,,-,-,-,-,-,-,-,-,-,300.00,,-,-,-,,"13,354.37",-,-,"2,798.00",396.15,360.83,-,3.95,-,"67,862.95"
212,"McKay,Hon. John",Active,Scarborough—Guildwood,27km²,"68,886","49,008.05",243.62,,-,-,-,-,-,-,"3,239.98",-,41.99,"1,859.00",,-,-,-,,"13,529.23",-,143.34,-,425.83,"1,528.83",46.06,"1,080.13",-,"71,146.06"
213,"McKenna,Hon. Catherine",Active,Ottawa Centre,35km²,"101,219","56,446.65","8,435.00",,-,-,-,-,-,-,-,-,320.00,"8,342.66",,-,-,-,,"9,533.02",-,-,"3,445.49",812.79,529.83,31.23,404.65,-,"88,301.32"
214,"McKinnon,Ron",Active,Coquitlam—Port Coquitlam,650km²,"92,653","51,248.91",950.00,,-,"2,256.74","2,256.74",-,-,-,-,-,-,-,,-,-,-,,"17,225.71",199.78,-,-,434.35,360.83,-,"1,549.32",-,"76,482.38"
215,"McLean,Greg",Active,Calgary Centre,49km²,"97,129","44,759.67","5,175.00",,"2,759.39",-,-,68.72,-,291.70,"3,169.90",473.86,-,-,,"17,695.86",-,-,,"17,516.14",-,-,"1,814.55",918.55,"22,695.63",167.50,966.95,754.92,"119,228.34"
216,"McLeod,Cathy",Active,Kamloops—Thompson—Cariboo,"38,320km²","104,054","57,719.65","1,451.19",,"6,921.44","6,386.06",-,-,486.00,772.37,"8,118.15",-,196.75,"11,407.00",,-,-,-,,"11,693.04",-,-,"2,200.00",966.02,331.50,-,905.14,599.09,"110,153.40"
217,"McLeod,Michael",Active,Northwest Territories,"1,346,106km²","30,704","50,437.06",-,,"6,990.87","2,167.39",-,-,-,-,"6,976.00",-,-,300.00,,-,-,-,,"9,375.80",-,-,74.98,614.50,529.83,-,-,-,"77,466.43"
218,"McPherson,Heather",Active,Edmonton Strathcona,80km²,"78,876","61,342.13","7,170.89",,"2,256.74",-,-,-,-,-,"7,438.93",-,-,"2,078.71",,"12,632.75","3,607.00",-,,"9,396.58",-,-,"4,000.00",658.82,-,128.25,119.73,-,"110,830.53"
219,"Melillo,Eric",Active,Kenora,"321,741km²","46,766","55,485.69",-,,"9,252.10","1,501.40",-,-,-,"1,545.26","5,100.00",-,-,-,,-,-,-,,"15,160.36",-,-,"2,200.00",615.05,169.00,224.43,280.00,-,"91,533.29"
220,"Mendès,Alexandra",Active,Brossard—Saint-Lambert,58km²,"83,716","47,290.82",60.00,,-,-,-,-,-,-,"5,168.00",-,-,"4,653.97",,-,-,-,,"12,933.48",-,-,"2,085.40",741.23,529.83,-,-,-,"73,462.73"
221,"Mendicino,Hon. Marco",Active,Eglinton—Lawrence,24km²,"83,559","39,101.80","3,471.11",,263.90,263.90,527.80,-,-,-,-,-,-,"1,490.00",,-,-,-,,"14,484.60",-,-,6.60,560.08,360.83,-,-,-,"60,530.62"
222,"Michaud,Kristina",Active,Avignon—La Mitis—Matane—Matapédia,"14,723km²","59,618","46,860.63",-,,"7,142.19",-,-,-,-,522.50,"6,080.00",-,-,"8,652.96",,"2,238.76",-,-,,"11,263.60",150.99,-,267.46,836.05,303.69,363.69,646.98,-,"85,329.50"
223,"Miller,Hon. Marc",Active,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,19km²,"89,012","56,999.95",-,,-,-,284.40,-,-,-,-,-,-,"2,030.47",,-,-,-,,"12,484.08",179.00,-,-,"1,031.47",360.83,-,101.75,-,"73,471.95"
224,"Monsef,Hon. Maryam",Active,Peterborough—Kawartha,"3,473km²","100,351","63,338.82",336.00,,-,-,-,-,-,-,"6,780.00",-,-,"7,646.97",,-,-,-,,"10,611.78",169.99,-,326.55,"1,749.26",529.83,63.97,246.84,-,"91,800.01"
225,"Moore,Hon. Rob",Active,Fundy Royal,"7,686km²","65,543","59,292.80","5,100.00",,373.10,-,-,117.07,-,37.32,-,-,-,461.00,,-,"4,442.57",-,,"9,830.00",-,-,-,776.03,-,59.04,206.25,-,"80,695.18"
226,"Morantz,Marty",Active,Charleswood—St. James—Assiniboia—Headingley,207km²,"65,949","56,311.64",-,,"2,261.74",-,-,414.72,-,-,"5,236.00",-,-,842.67,,-,-,-,,"11,995.07",-,-,-,902.26,963.85,-,-,-,"78,927.95"
227,"Morneau,Hon. Bill",Active,Toronto Centre,6km²,"83,076","52,918.93",772.80,,-,-,-,-,-,-,-,-,-,615.00,,-,"3,200.00",-,,"14,969.91",-,-,-,746.55,360.83,374.13,-,-,"73,958.15"
228,"Morrison,Rob",Active,Kootenay—Columbia,"64,336km²","93,002","53,355.92","3,599.00",,"14,840.68",282.37,-,"1,422.51","1,217.16","1,714.33","1,111.18",438.97,-,-,,-,-,-,,"11,776.64","3,939.70",-,"1,602.49","1,179.09",142.50,37.35,595.32,-,"97,255.21"
229,"Morrissey,Robert",Active,Egmont,"1,527km²","28,557","44,032.24","3,000.00",,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"5,275.20",-,-,-,408.28,360.83,-,282.55,-,"53,359.10"
230,"Motz,Glen",Active,Medicine Hat—Cardston—Warner,"29,982km²","79,596","51,910.11",89.85,,"9,829.99","2,270.66",-,-,-,638.34,"7,592.34",312.73,-,"2,912.30",,"4,946.90",-,-,,"9,470.92",68.00,309.80,"6,538.00",846.25,-,-,293.92,-,"98,030.11"
231,"Murray,Hon. Joyce",Active,Vancouver Quadra,42km²,"75,967","49,136.25","1,614.82",,"2,256.74",-,-,478.10,-,-,"3,182.97",5.99,-,200.00,,-,"6,121.91",-,,"15,581.20",-,"1,221.59",300.99,776.40,360.83,564.67,"1,003.83",27.64,"82,833.93"
232,"Nater,John",Active,Perth—Wellington,"3,782km²","83,501","52,811.70",-,,"3,593.95",-,-,-,-,"1,243.26","8,425.92",-,-,-,,-,-,-,,"14,178.85",-,-,"1,106.24",574.38,169.00,-,-,-,"82,103.30"
233,"Ng,Hon. Mary",Active,Markham—Thornhill,44km²,"72,499","55,622.51","1,066.79",,"4,031.48",-,-,-,-,-,"7,366.53",-,-,"4,156.00",,-,-,-,,"15,535.00",-,-,993.71,711.00,507.00,-,730.05,-,"90,720.07"
234,"Normandin,Christine",Active,Saint-Jean,734km²,"91,228","57,549.61",499.82,,-,-,-,213.53,-,-,"4,400.00",200.28,-,"2,417.96",,"3,172.88",-,-,,"8,000.00","1,950.00",-,"1,820.00","1,565.16",-,546.96,480.77,-,"82,816.97"
235,"O'Connell,Jennifer",Active,Pickering—Uxbridge,687km²,"92,933","59,799.63",-,,-,-,-,-,-,-,"7,606.31",-,-,770.00,,-,-,-,,"9,553.20",-,-,-,342.58,360.83,-,-,55.28,"78,487.83"
236,"Oliphant,Robert",Active,Don Valley West,32km²,"74,003","52,892.40","2,796.54",,-,-,-,-,-,-,-,-,-,"7,015.00",,-,-,-,,"16,173.66",-,-,-,509.67,360.83,-,152.99,-,"79,901.09"
237,"O'Regan,Hon. Seamus",Active,St. John's South—Mount Pearl,503km²,"67,643","48,384.31","6,000.00",,-,-,-,239.00,-,-,"6,978.24",42.77,-,"1,474.50",,-,-,-,,"12,084.00",-,-,"1,351.45","1,632.67","1,205.83",-,300.94,-,"79,693.71"
238,"O'Toole,Hon. Erin",Active,Durham,953km²,"108,096","58,289.39","2,518.75",,"2,055.84",342.64,-,-,-,909.83,"9,200.00",-,"1,790.95","7,568.00",,"3,170.00",-,-,,"8,819.81",-,489.92,"2,200.00",844.26,-,10.95,759.82,-,"98,970.16"
239,"Patzer,Jeremy",Active,Cypress Hills—Grasslands,"77,822km²","50,705","45,458.54",144.00,,"6,073.56",-,-,-,-,"1,335.59","7,400.00",46.00,-,"5,182.71",,"4,323.39",-,-,,"7,700.00",-,-,"2,869.00","1,043.61",466.82,20.76,425.65,-,"82,489.63"
240,"Paul-Hus,Pierre",Active,Charlesbourg—Haute-Saint-Charles,118km²,"85,926","56,468.59",711.50,,846.06,-,-,-,-,438.40,"7,400.00",199.36,325.64,"5,340.25",,-,"3,537.96",-,,"7,966.52",-,-,"3,558.84",879.77,13.40,210.52,156.10,-,"88,052.91"
241,"Pauzé,Monique",Active,Repentigny,198km²,"92,684","53,173.93",-,,-,-,-,-,-,-,"7,070.00",7.01,-,"6,465.10",,-,"2,978.10",-,,"8,160.00",-,-,20.00,659.32,-,295.95,451.44,-,"79,280.85"
242,"Perron,Yves",Active,Berthier—Maskinongé,"4,420km²","84,645","49,946.11",81.62,,"1,537.02",-,-,-,-,"1,947.64","2,196.83",20.78,"1,272.95",663.34,,"7,458.89",-,-,,"6,001.98",499.99,-,-,653.91,125.00,296.33,"2,543.88",-,"75,246.27"
243,"Petitpas Taylor,Hon. Ginette",Active,Moncton—Riverview—Dieppe,168km²,"75,005","35,188.62",324.84,,-,-,-,21.86,-,-,"6,188.72",51.73,-,"2,086.40",,-,-,"1,002.50",,"7,044.08",308.00,86.25,"8,040.00",732.16,360.83,-,528.21,-,"61,964.20"
244,"Plamondon,Louis",Active,Bécancour—Nicolet—Saurel,"2,870km²","79,314","42,353.91","2,306.04",,459.54,-,-,-,-,-,-,-,250.00,"7,109.82",,-,-,399.00,,"5,339.39",-,-,-,796.49,619.99,-,313.05,-,"59,947.23"
245,"Poilievre,Hon. Pierre",Active,Carleton,"1,229km²","88,701","58,149.54",-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"8,453.56",-,-,"1,872.00",927.31,-,-,-,-,"69,402.41"
246,"Powlowski,Marcus",Active,Thunder Bay—Rainy River,"39,545km²","66,306","56,762.93",-,,-,-,-,-,-,-,-,59.97,-,"3,101.08",,-,-,-,,"11,900.00",-,-,-,588.34,360.83,-,63.49,-,"72,836.64"
247,"Qaqqaq,Mumilaaq",Active,Nunavut,"2,093,190km²","20,025","58,466.22",-,,"3,529.30",-,-,-,-,-,"4,300.00",-,-,-,,-,-,-,,"19,200.00",-,-,267.08,600.32,338.00,-,-,-,"86,700.92"
248,"Qualtrough,Hon. Carla",Active,Delta,207km²,"77,216","36,176.74",101.00,,"3,385.11","2,256.74","4,513.48","1,080.32",-,445.76,"7,000.00",-,-,"10,891.85",,-,-,-,,"23,460.35",-,59.81,-,939.99,360.83,200.00,204.09,-,"91,076.07"
249,"Ratansi,Yasmin",Active,Don Valley East,24km²,"66,530","58,797.70",375.57,,-,-,-,73.86,-,-,-,-,-,"5,171.60",,"4,975.00",-,-,,"16,324.00",-,-,283.99,762.21,360.83,17.99,140.74,-,"87,283.49"
250,"Rayes,Alain",Active,Richmond—Arthabaska,"3,571km²","86,896","53,400.52",526.27,,686.24,-,-,-,-,568.17,"7,200.00",200.00,-,"4,175.00",,"7,275.76",-,-,,"10,978.32",-,-,200.00,914.68,-,-,349.41,-,"86,474.37"
251,"Redekopp,Brad",Active,Saskatoon West,93km²,"61,577","47,180.65","2,436.88",,"4,371.55",-,-,-,135.04,329.63,-,-,-,"4,699.00",,-,-,187.43,,"7,641.48",269.66,-,106.48,898.98,-,260.83,423.19,592.38,"69,533.18"
252,"Regan,Hon. Geoff",Active,Halifax West,260km²,"77,531","60,453.09",-,,-,-,-,-,-,-,"7,600.00",-,-,686.70,,"5,779.98","3,996.63",-,,"10,719.00",-,-,-,835.15,360.83,282.28,850.22,-,"91,563.88"
253,"Reid,Scott",Active,Lanark—Frontenac—Kingston,"7,322km²","87,395","49,322.79","17,400.00",,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,65.21,-,15.34,927.15,-,6.10,47.37,-,"67,783.96"
254,"Rempel Garner,Hon. Michelle",Active,Calgary Nose Hill,57km²,"83,395","49,529.51",59.70,,-,-,-,478.10,-,-,"7,000.00",-,-,-,,-,-,-,,"16,622.24",-,-,"2,210.00","1,281.35",-,-,-,-,"77,180.90"
255,"Richards,Blake",Active,Banff—Airdrie,"12,282km²","108,264","43,881.45",-,,"6,330.66",-,-,-,-,163.31,-,-,-,-,,"3,546.01",-,-,,"13,120.00",-,-,-,"1,016.98",-,552.26,221.70,-,"68,832.37"
256,"Robillard,Yves",Active,Marc-Aurèle-Fortin,54km²,"78,632","52,085.22",85.00,,712.60,-,-,271.56,-,616.65,"8,400.00",-,-,"3,632.00",,"7,214.60",-,12.01,,"9,312.00",-,-,"2,425.00",646.88,360.83,-,472.29,-,"86,246.64"
257,"Rodriguez,Hon. Pablo",Active,Honoré-Mercier,39km²,"78,850","53,890.52",-,,-,-,-,-,-,"3,182.65","3,050.00",-,-,"1,649.46",,"6,475.00",-,-,,"10,650.00",-,-,149.99,"1,001.43",-,-,89.99,-,"80,139.04"
258,"Rogers,Churence",Active,Bonavista—Burin—Trinity,"18,961km²","60,166","54,796.45",-,,-,-,-,-,-,-,"7,524.00",-,-,-,,-,-,-,,"13,000.00",-,-,-,875.90,360.83,-,-,-,"76,557.18"
259,"Romanado,Sherry",Active,Longueuil—Charles-LeMoyne,39km²,"83,920","48,425.82","2,004.00",,703.10,-,-,-,-,355.67,"7,714.57",-,-,"3,381.25",,-,-,-,,"11,360.36",-,-,807.30,667.53,"1,176.83",-,-,-,"76,596.43"
260,"Rood,Lianne",Active,Lambton—Kent—Middlesex,"5,278km²","88,838","46,739.64","1,280.00",,"3,536.81",-,-,256.98,-,"2,154.61","3,350.34",63.98,-,"2,298.00",,-,-,-,,"12,548.61",-,-,"1,486.53",796.11,56.31,59.70,772.68,-,"75,400.30"
261,"Rota,Hon. Anthony",Active,Nipissing—Timiskaming,"15,313km²","75,052","49,565.77","1,036.00",,839.36,-,184.17,-,-,552.50,-,-,-,704.00,,-,-,-,,"10,680.31",-,-,-,871.34,836.29,-,276.05,-,"65,545.79"
262,"Ruff,Alex",Active,Bruce—Grey—Owen Sound,"6,447km²","89,386","48,267.56",320.00,,"1,540.83",-,-,-,-,362.01,"2,888.00",-,-,"2,850.00",,"2,720.00",-,-,,"11,853.32",-,-,"1,404.00",283.79,-,-,710.54,-,"73,200.05"
263,"Sahota,Jag",Active,Calgary Skyview,123km²,"84,915","44,629.54",-,,"2,256.74",-,-,-,-,393.21,-,-,-,-,,-,-,-,,"13,535.88",-,-,"2,210.00",468.79,-,-,-,-,"63,494.16"
264,"Sahota,Ruby",Active,Brampton North,36km²,"78,229","51,628.57",-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,,"16,713.40",-,-,-,462.33,360.83,-,-,-,"69,165.13"
265,"Saini,Raj",Active,Kitchener Centre,44km²,"83,884","40,388.86",-,,"2,262.17",-,-,466.25,-,516.56,"1,832.07",-,-,-,,-,"3,213.68",-,,"11,200.00",-,-,-,761.19,360.83,657.52,-,-,"61,659.13"
266,"Sajjan,Hon. Harjit S.",Active,Vancouver South,21km²,"74,826","33,722.37",369.90,,"3,385.11",-,-,-,-,-,"10,000.00",-,-,"9,236.58",,-,-,-,,"10,606.28",-,220.20,-,813.12,525.83,-,"2,611.76",-,"71,491.15"
267,"Samson,Darrell",Active,Sackville—Preston—Chezzetcook,777km²,"71,759","50,267.94",450.00,,-,811.32,-,"1,536.33",-,-,-,-,-,"4,739.19",,-,-,-,,"7,451.52",44.78,-,-,917.75,360.83,319.01,562.69,600.00,"68,061.36"
268,"Sangha,Ramesh",Active,Brampton Centre,46km²,"67,890","33,892.28",850.00,,-,-,-,-,-,-,"1,500.00",-,-,-,,-,-,-,,"16,000.00",-,-,133.54,831.99,529.83,-,-,-,"53,737.64"
269,"Sarai,Randeep",Active,Surrey Centre,44km²,"76,731","37,647.37",733.06,,-,-,-,-,-,-,"8,800.00",-,-,"5,801.25",,"4,303.86",-,-,,"21,448.75",-,-,"4,269.47",803.28,867.83,-,628.15,-,"85,303.02"
270,"Saroya,Bob",Active,Markham—Unionville,89km²,"88,882","40,243.55",-,,-,-,-,-,-,-,"4,422.36",-,-,"1,540.00",,"4,680.00",-,-,,"12,123.00",-,-,-,542.08,-,-,-,-,"63,550.99"
271,"Savard-Tremblay,Simon-Pierre",Active,Saint-Hyacinthe—Bagot,"1,948km²","82,039","52,587.42",160.00,,564.04,-,-,"3,032.66",-,525.62,"5,400.00",-,-,"9,669.00",,-,"9,327.60",-,,"9,536.80",-,"1,200.00",75.00,457.73,665.18,608.85,519.11,-,"94,329.01"
272,"Scarpaleggia,Francis",Active,Lac-Saint-Louis,81km²,"84,074","54,325.94","6,550.96",,"1,601.32",-,-,-,-,126.58,-,-,-,"1,789.82",,-,-,-,,"14,844.24",-,-,-,585.26,360.83,-,-,-,"80,184.95"
273,"Scheer,Hon. Andrew",Active,Regina—Qu'Appelle,"13,430km²","56,412","66,489.63",882.17,,"1,199.50",642.45,"3,212.25","1,968.95",-,-,-,-,-,"9,822.50",,-,-,-,,"12,480.30",326.20,-,154.99,572.68,169.00,5.00,589.37,-,"98,514.99"
274,"Schiefke,Peter",Active,Vaudreuil—Soulanges,408km²,"95,659","57,415.80",283.09,,737.90,-,-,245.88,-,491.50,-,-,-,"3,385.73",,-,-,-,,"10,646.88",-,"1,167.12",373.62,737.28,660.82,-,"1,405.25",-,"77,550.87"
275,"Schmale,Jamie",Active,Haliburton—Kawartha Lakes—Brock,"8,941km²","99,274","53,551.45","2,192.24",,997.44,-,-,487.04,-,579.99,"8,709.61",-,-,"5,852.49",,-,"4,461.04",-,,"7,367.92",271.92,420.13,"3,020.19",774.34,"1,820.16",241.09,794.44,-,"91,541.49"
276,"Schulte,Hon. Deb",Active,King—Vaughan,449km²,"100,174","49,091.78",129.00,,-,-,-,-,-,-,"7,882.15",-,-,"8,404.99",,-,-,-,,"10,139.39",-,-,29.99,365.33,360.83,-,-,-,"76,403.46"
277,"Seeback,Kyle",Active,Dufferin—Caledon,"2,293km²","106,347","43,008.31","12,257.53",,"2,993.35",-,-,-,-,"2,200.00","1,424.43",30.96,-,"6,361.60",,-,-,-,,"9,191.42",-,83.76,"3,745.89",612.58,-,-,169.24,27.64,"82,106.71"
278,"Serré,Marc",Active,Nickel Belt,"30,490km²","76,585","58,032.23",484.94,,"1,653.75",-,-,-,-,275.67,"6,400.00",-,-,"2,220.00",,-,"3,905.05",-,,"12,051.31",-,179.40,20.00,"1,293.15","6,821.78",310.29,"1,737.42",-,"95,384.99"
279,"Sgro,Hon. Judy A.",Active,Humber River—Black Creek,32km²,"69,523","43,008.25",750.00,,619.12,225.00,-,-,-,-,"3,050.00",-,-,"4,877.80",,"3,759.48",-,-,,"13,197.00",-,-,-,774.80,360.83,-,875.00,-,"71,497.28"
280,"Shanahan,Brenda",Active,Châteauguay—Lacolle,940km²,"78,384","40,084.71","1,035.75",,603.21,-,-,-,-,-,"8,602.76",-,-,"15,265.70",,-,-,-,,"8,720.00",-,-,-,839.84,495.83,414.31,438.99,-,"76,501.10"
281,"Sheehan,Terry",Active,Sault Ste. Marie,"5,921km²","66,668","45,368.31",-,,342.90,-,-,-,-,-,"7,033.08",-,-,"4,263.00",,"2,419.00",-,-,,"6,600.00",-,-,-,859.30,-,344.24,-,-,"67,229.83"
282,"Shields,Martin",Active,Bow River,"24,427km²","80,610","52,042.09",531.00,,"3,558.82",-,-,-,-,-,"1,500.00",16.97,-,"12,512.08",,-,"6,137.90",-,,"10,345.00",-,-,"6,407.00","2,033.11",-,254.61,192.74,-,"95,531.32"
283,"Shin,Nelly",Active,Port Moody—Coquitlam,101km²,"82,674","30,709.66","2,016.67",,"3,677.44",-,-,-,-,-,"9,110.09",-,-,"2,378.93",,-,-,260.26,,"11,368.14",21.97,-,"1,690.61",560.42,-,236.12,"2,698.80",-,"64,729.11"
284,"Shipley,Doug",Active,Barrie—Springwater—Oro-Medonte,"1,027km²","81,414","53,564.84","3,220.60",,"1,243.44",-,-,-,-,460.04,"6,862.69",-,-,"2,180.00",,"4,614.00",-,-,,"5,813.07",-,-,"1,912.00",859.32,619.00,175.00,840.79,-,"82,364.79"
285,"Sidhu,Maninder",Active,Brampton East,89km²,"78,728","51,181.95","1,175.00",,383.45,-,-,-,-,128.62,292.75,-,-,"2,315.00",,-,"1,096.77",-,,"14,490.68",249.97,-,"2,753.91",403.08,360.83,260.12,41.97,-,"75,134.10"
286,"Sidhu,Sonia",Active,Brampton South,49km²,"79,046","52,880.43",-,,-,-,-,-,-,-,"3,050.00",-,-,650.00,,-,"6,696.06",-,,-,-,-,-,721.29,360.83,234.23,-,-,"64,592.84"
287,"Sikand,Gagan",Active,Mississauga—Streetsville,49km²,"87,961","55,587.81",88.89,,450.67,-,-,-,-,-,-,"1,080.00",-,"8,269.56",,-,-,-,,"10,186.35",-,-,-,647.61,360.83,-,66.67,-,"76,738.39"
288,"Simard,Mario",Active,Jonquière,"42,453km²","72,961","46,063.10","1,365.90",,"2,461.60",-,-,-,-,"1,270.68","3,207.68",123.46,-,"10,547.50",,"4,217.11",-,-,,"8,000.00",611.75,-,-,874.71,-,250.90,"1,735.26",-,"80,729.65"
289,"Simms,Scott",Active,Coast of Bays—Central—Notre Dame,"43,596km²","63,639","63,286.87",360.00,,737.80,-,-,632.94,-,196.60,"8,299.97",160.78,-,"2,600.00",,-,-,-,,"12,400.00",-,"1,533.65",-,783.87,360.83,-,300.81,-,"91,654.12"
290,"Singh,Jagmeet",Active,Burnaby South,47km²,"80,312","49,136.61",150.00,,"1,333.95","7,212.54",-,111.60,-,"1,122.01","8,600.00",-,-,611.98,,-,-,-,,"13,157.24",-,-,-,784.98,-,-,-,-,"82,220.91"
291,"Sloan,Derek",Active,Hastings—Lennox and Addington,"9,217km²","80,434","57,313.43",374.29,,325.52,-,-,319.12,-,196.83,135.36,-,-,-,,-,-,-,,"12,810.95",-,-,-,"2,027.06",755.00,28.04,158.51,120.00,"74,564.11"
292,"Sorbara,Francesco",Active,Vaughan—Woodbridge,84km²,"80,593","47,473.83",500.00,,446.20,-,-,-,-,119.96,187.82,-,-,"8,387.00",,-,"4,653.63",-,,"14,208.79",281.64,-,-,692.59,360.83,300.56,912.91,27.64,"78,553.40"
293,"Soroka,Gerald",Active,Yellowhead,"76,127km²","76,197","45,938.73",360.00,,"5,062.56",-,-,-,-,411.83,"6,612.64",-,-,"6,901.29",,-,-,-,,"7,000.00",-,-,199.00,"1,112.84",469.50,-,599.60,-,"74,667.99"
294,"Spengemann,Sven",Active,Mississauga—Lakeshore,92km²,"90,419","48,872.99","7,915.23",,-,-,-,333.02,-,-,-,-,-,300.00,,-,-,-,,"15,075.50",-,19.90,"1,092.89",598.08,524.83,-,-,-,"74,732.44"
295,"Stanton,Bruce",Active,Simcoe North,"1,894km²","97,613","55,046.01",-,,"2,373.70",-,-,-,-,"1,874.33","6,700.83",-,-,"1,915.00",,-,"3,616.00",-,,"16,321.56",-,-,"10,550.55",377.13,-,473.14,736.73,-,"99,984.98"
296,"Steinley,Warren",Active,Regina—Lewvan,58km²,"68,770","45,702.66","1,966.08",,"3,468.19",-,-,-,-,-,-,739.65,-,"6,388.68",,-,-,-,,"5,200.00",320.85,-,"3,516.33",835.66,169.00,236.00,"1,179.28",-,"69,722.38"
297,"Ste-Marie,Gabriel",Active,Joliette,"9,102km²","89,118","51,293.57","1,361.50",,"1,151.55",-,-,-,-,798.23,"6,000.00",-,-,"2,596.00",,"7,442.89",-,-,,"4,161.60",-,-,400.88,526.43,553.75,336.03,205.92,-,"76,828.35"
298,"Strahl,Mark",Active,Chilliwack—Hope,"3,355km²","82,824","49,790.65",674.41,,-,-,-,-,-,-,"7,502.74",50.11,-,"8,253.00",,"8,257.57","5,601.88",-,,"11,213.49",-,148.73,-,328.99,-,571.49,513.45,-,"92,906.51"
299,"Stubbs,Shannon",Active,Lakeland,"31,877km²","80,578","70,380.20",-,,451.03,-,-,-,-,-,"6,598.00",-,-,-,,-,-,-,,"7,700.00","1,850.39",-,"2,218.34",767.54,-,190.39,404.94,-,"90,560.83"
